FrameID,Action,Mouse_position,execution_time
0000000084,Space,"(1513, 817)",1538255480.5100746
0000000084,Space,"(1502, 804)",1538255480.521046
0000000084,Space,"(1492, 786)",1538255480.532016
0000000084,Space,"(1481, 771)",1538255480.5429869
0000000084,Space,"(1469, 756)",1538255480.5539575
0000000084,Space,"(1457, 738)",1538255480.5649283
0000000084,Space,"(1448, 724)",1538255480.5758991
0000000084,Space,"(1441, 708)",1538255480.5868695
0000000085,Space,"(1421, 658)",1538255480.6287577
0000000085,Space,"(1415, 648)",1538255480.6397293
0000000085,Space,"(1405, 627)",1538255480.6506987
0000000085,Space,"(1397, 612)",1538255480.6616702
0000000085,Space,"(1391, 600)",1538255480.6726398
0000000085,Space,"(1395, 588)",1538255480.6836114
0000000085,Space,"(1409, 585)",1538255480.6945817
0000000085,Space,"(1430, 587)",1538255480.705552
0000000085,Space,"(1454, 590)",1538255480.7165225
0000000085,Space,"(1467, 595)",1538255480.7274933
0000000085,Space,"(1467, 595)",1538255480.738464
0000000086,Space,"(1467, 595)",1538255480.7713761
0000000086,Space,"(1467, 595)",1538255480.7823472
0000000086,Space,"(1467, 595)",1538255480.793318
0000000086,Space,"(1467, 595)",1538255480.804288
0000000086,Space,"(1467, 595)",1538255480.8152592
0000000086,Space,"(1467, 595)",1538255480.8262293
0000000086,Space,"(1467, 595)",1538255480.8372
0000000086,Space,"(1467, 595)",1538255480.8481705
0000000086,Space,"(1439, 588)",1538255480.8591413
0000000086,Space,"(1373, 587)",1538255480.8701122
0000000086,Space,"(1363, 588)",1538255480.8810825
0000000086,Space,"(1367, 583)",1538255480.892054
0000000087,Space,"(1382, 570)",1538255480.9289546
0000000087,Space,"(1382, 570)",1538255480.9399254
0000000087,Space,"(1382, 570)",1538255480.9508958
0000000087,Space,"(1382, 570)",1538255480.9618669
0000000087,Space,"(1382, 570)",1538255480.9728372
0000000087,Space,"(1382, 570)",1538255480.983808
0000000087,Space,"(1382, 570)",1538255480.9947786
0000000087,Space,"(1382, 570)",1538255481.0057492
0000000087,Space,"(1382, 570)",1538255481.0167203
0000000087,Space,"(1382, 570)",1538255481.0276904
0000000087,Space,"(1381, 572)",1538255481.038661
0000000088,Space,"(1358, 646)",1538255481.0935144
0000000088,Space,"(1359, 656)",1538255481.104486
0000000088,Space,"(1362, 667)",1538255481.1154556
0000000088,Space,"(1368, 680)",1538255481.126427
0000000088,Space,"(1377, 695)",1538255481.137397
0000000088,Space,"(1389, 710)",1538255481.1483681
0000000088,Space,"(1404, 727)",1538255481.1593385
0000000088,Space,"(1416, 737)",1538255481.170309
0000000088,Space,"(1428, 746)",1538255481.1812804
0000000088,Space,"(1436, 749)",1538255481.1922503
0000000089,Space,"(1440, 749)",1538255481.2291515
0000000089,Space,"(1440, 749)",1538255481.2401226
0000000089,Space,"(1440, 749)",1538255481.2510931
0000000089,Space,"(1440, 749)",1538255481.2620642
0000000089,Space,"(1442, 747)",1538255481.2730348
0000000089,Space,"(1448, 742)",1538255481.2840052
0000000089,Space,"(1458, 738)",1538255481.294976
0000000089,Space,"(1479, 739)",1538255481.3059468
0000000089,Space,"(1500, 742)",1538255481.3169172
0000000089,Space,"(1527, 754)",1538255481.3273945
0000000089,Space,"(1547, 764)",1538255481.338365
0000000090,Space,"(1549, 753)",1538255481.38524
0000000090,Space,"(1537, 745)",1538255481.3962111
0000000090,Space,"(1511, 717)",1538255481.4071817
0000000090,Space,"(1495, 697)",1538255481.418152
0000000090,Space,"(1486, 688)",1538255481.4286292
0000000090,Space,"(1485, 679)",1538255481.4396
0000000090,Space,"(1497, 670)",1538255481.4505706
0000000090,Space,"(1512, 658)",1538255481.4615417
0000000090,Space,"(1524, 645)",1538255481.4725122
0000000090,Space,"(1535, 633)",1538255481.4834826
0000000090,Space,"(1545, 619)",1538255481.4944534
0000000091,Space,"(1571, 586)",1538255481.531858
0000000091,Space,"(1577, 579)",1538255481.5428293
0000000091,Space,"(1581, 571)",1538255481.5537994
0000000091,Space,"(1586, 565)",1538255481.5647702
0000000091,Space,"(1592, 559)",1538255481.5757408
0000000091,Space,"(1595, 553)",1538255481.586712
0000000091,Space,"(1599, 549)",1538255481.5976827
0000000091,Space,"(1602, 546)",1538255481.6086526
0000000091,Space,"(1604, 544)",1538255481.6196234
